patient_id,filename,s3_key,exists,size_bytes,tifffile_ok,tifffile_error,openslide_ok,openslide_error
CH_L_290a,CAVG10489_2024-09-11_10-56-00_2024-09-11_10-45-56_V44U10-367_A1_CH_L_290a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-11_10-56-00_2024-09-11_10-45-56_V44U10-367_A1_CH_L_290a_vis.tif,True,28805164,True,,False,Unsupported or missing image file
CH_L_291a,CAVG10489_2024-09-11_11-45-41_2024-09-11_11-35-11_V44U10-364_D1_CH_L_291a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-11_11-45-41_2024-09-11_11-35-11_V44U10-364_D1_CH_L_291a_vis.tif,True,26146288,True,,False,Unsupported or missing image file
CH_L_292a,CAVG10489_2024-09-20_11-07-58_2024-09-20_10-49-12_V44U10-363_D1_CH_L_292a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-20_11-07-58_2024-09-20_10-49-12_V44U10-363_D1_CH_L_292a_vis.tif,True,27835990,True,,False,Unsupported or missing image file
CH_L_293a,CAVG10489_2024-09-11_11-45-41_2024-09-11_11-35-11_V44U10-364_A1_CH_L_293a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-11_11-45-41_2024-09-11_11-35-11_V44U10-364_A1_CH_L_293a_vis.tif,True,25488218,True,,False,Unsupported or missing image file
CH_L_294a,CAVG10489_2024-09-20_11-07-58_2024-09-20_10-49-12_V44U10-363_A1_CH_L_294a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-20_11-07-58_2024-09-20_10-49-12_V44U10-363_A1_CH_L_294a_vis.tif,True,29753216,True,,False,Unsupported or missing image file
CH_L_295a,CAVG10489_2024-09-20_11-51-12_2024-09-20_11-44-09_V44U19-365_D1_CH_L_295a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-20_11-51-12_2024-09-20_11-44-09_V44U19-365_D1_CH_L_295a_vis.tif,True,27142652,True,,False,Unsupported or missing image file
CH_L_296a,CAVG10489_2025-04-01_11-29-55_2025-04-01_11-06-35_V44T13-276_D1_CH_L_296a_vbu.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2025-04-01_11-29-55_2025-04-01_11-06-35_V44T13-276_D1_CH_L_296a_vbu.tif,True,25087082,True,,False,Unsupported or missing image file
CH_L_298a,CAVG10489_2024-09-20_12-35-59_2024-09-20_12-31-08_V44M27-347_A1_CH_L_298a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-20_12-35-59_2024-09-20_12-31-08_V44M27-347_A1_CH_L_298a_vis.tif,True,24860116,True,,False,Unsupported or missing image file
CH_L_299a,CAVG10489_2024-09-20_13-17-41_2024-09-20_13-13-52_V44A03-380_D1_CH_L_299a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-20_13-17-41_2024-09-20_13-13-52_V44A03-380_D1_CH_L_299a_vis.tif,True,24120850,True,,False,Unsupported or missing image file
CH_L_300a,CAVG10489_2024-09-20_13-17-41_2024-09-20_13-13-52_V44A03-380_A1_CH_L_300a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-20_13-17-41_2024-09-20_13-13-52_V44A03-380_A1_CH_L_300a_vis.tif,True,27963054,True,,False,Unsupported or missing image file
CH_L_301a,CAVG10489_2024-09-27_10-16-17_2024-09-27_10-06-27_V44M27-361_D1_CH_L_301a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-27_10-16-17_2024-09-27_10-06-27_V44M27-361_D1_CH_L_301a_vis.tif,True,27099240,True,,False,Unsupported or missing image file
CH_L_302a,CAVG10489_2024-09-27_10-16-17_2024-09-27_10-06-27_V44M27-361_A1_CH_L_302a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-27_10-16-17_2024-09-27_10-06-27_V44M27-361_A1_CH_L_302a_vis.tif,True,29288338,True,,False,Unsupported or missing image file
CH_L_303a,CAVG10489_2024-09-27_11-11-20_2024-09-27_11-00-29_V44A03-319_D1_CH_L_303a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-27_11-11-20_2024-09-27_11-00-29_V44A03-319_D1_CH_L_303a_vis.tif,True,27364734,True,,False,Unsupported or missing image file
CH_L_305a,CAVG10489_2024-09-24_11-35-43_2024-09-24_11-26-38_V44J25-031_D1_CH_L_305a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-24_11-35-43_2024-09-24_11-26-38_V44J25-031_D1_CH_L_305a_vis.tif,True,29570096,True,,False,Unsupported or missing image file
CH_L_306a,CAVG10489_2024-09-24_11-35-43_2024-09-24_11-26-38_V44J25-031_A1_CH_L_306a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-24_11-35-43_2024-09-24_11-26-38_V44J25-031_A1_CH_L_306a_vis.tif,True,25520052,True,,False,Unsupported or missing image file
CH_L_306b,CAVG10489_2024-09-24_12-20-25_2024-09-24_12-14-24_V44J22-375_D1_CH_L_306b_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-24_12-20-25_2024-09-24_12-14-24_V44J22-375_D1_CH_L_306b_vis.tif,True,25125254,True,,False,Unsupported or missing image file
CH_L_307a,CAVG10489_2024-09-24_12-20-25_2024-09-24_12-14-24_V44J22-375_A1_CH_L_307a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-24_12-20-25_2024-09-24_12-14-24_V44J22-375_A1_CH_L_307a_vis.tif,True,26574624,True,,False,Unsupported or missing image file
CH_L_308a,CAVG10489_2024-09-27_12-00-07_2024-09-27_11-46-53_V44A01-351_D1_CH_L_308a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-27_12-00-07_2024-09-27_11-46-53_V44A01-351_D1_CH_L_308a_vis.tif,True,27729700,True,,False,Unsupported or missing image file
CH_L_309a,CAVG10489_2024-09-27_12-00-07_2024-09-27_11-46-53_V44A01-351_A1_CH_L_309a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-27_12-00-07_2024-09-27_11-46-53_V44A01-351_A1_CH_L_309a_vis.tif,True,24715632,True,,False,Unsupported or missing image file
CH_L_310a,CAVG10489_2024-09-27_12-55-10_2024-09-27_12-37-43_V44A03-294_D1_CH_L_310a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-27_12-55-10_2024-09-27_12-37-43_V44A03-294_D1_CH_L_310a_vis.tif,True,27612550,True,,False,Unsupported or missing image file
CH_L_311a,CAVG10489_2024-09-27_12-55-10_2024-09-27_12-37-43_V44A03-294_A1_CH_L_311a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-09-27_12-55-10_2024-09-27_12-37-43_V44A03-294_A1_CH_L_311a_vis.tif,True,26367418,True,,False,Unsupported or missing image file
CH_L_312a,CAVG10489_2024-10-01_11-13-03_2024-10-01_11-06-17_V44A01-333_D1_CH_L_312a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-01_11-13-03_2024-10-01_11-06-17_V44A01-333_D1_CH_L_312a_vis.tif,True,26685398,True,,False,Unsupported or missing image file
CH_L_313a,CAVG10489_2024-10-01_11-13-03_2024-10-01_11-06-17_V44A01-333_A1_CH_L_313a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-01_11-13-03_2024-10-01_11-06-17_V44A01-333_A1_CH_L_313a_vis.tif,True,24514798,True,,False,Unsupported or missing image file
CH_L_314a,CAVG10489_2024-10-01_11-55-24_2024-10-01_11-47-59_V44A01-307_D1_CH_L_314a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-01_11-55-24_2024-10-01_11-47-59_V44A01-307_D1_CH_L_314a_vis.tif,True,23378498,True,,False,Unsupported or missing image file
CH_L_315a,CAVG10489_2024-10-01_11-55-24_2024-10-01_11-47-59_V44A01-307_A1_CH_L_315a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-01_11-55-24_2024-10-01_11-47-59_V44A01-307_A1_CH_L_315a_vis.tif,True,23199670,True,,False,Unsupported or missing image file
CH_L_317a,CAVG10489_2024-10-01_12-42-45_2024-10-01_12-33-25_V44A01-388_A1_CH_L_317a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-01_12-42-45_2024-10-01_12-33-25_V44A01-388_A1_CH_L_317a_vis.tif,True,25147594,True,,False,Unsupported or missing image file
CH_L_318a,CAVG10489_2024-10-01_13-25-16_2024-10-01_13-16-03_V44A03-336_D1_CH_L_318a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-01_13-25-16_2024-10-01_13-16-03_V44A03-336_D1_CH_L_318a_vis.tif,True,28088184,True,,False,Unsupported or missing image file
CH_L_319a,CAVG10489_2024-10-01_13-25-16_2024-10-01_13-16-03_V44A03-336_A1_CH_L_319a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-01_13-25-16_2024-10-01_13-16-03_V44A03-336_A1_CH_L_319a_vis.tif,True,23284064,True,,False,Unsupported or missing image file
CH_L_320a,CAVG10489_2024-10-04_11-40-46_2024-10-04_11-22-47_V44U10-293_D1_CH_L_320a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-04_11-40-46_2024-10-04_11-22-47_V44U10-293_D1_CH_L_320a_vis.tif,True,25885354,True,,False,Unsupported or missing image file
CH_L_321a,CAVG10489_2024-10-04_11-40-46_2024-10-04_11-22-47_V44U10-293_A1_CH_L_321a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-04_11-40-46_2024-10-04_11-22-47_V44U10-293_A1_CH_L_321a_vis.tif,True,26696394,True,,False,Unsupported or missing image file
CH_L_322a,CAVG10489_2024-10-04_12-36-57_2024-10-04_12-20-57_V44U10-376_D1_CH_L_322a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-04_12-36-57_2024-10-04_12-20-57_V44U10-376_D1_CH_L_322a_vis.tif,True,27127066,True,,False,Unsupported or missing image file
CH_L_323a,CAVG10489_2024-10-04_12-36-57_2024-10-04_12-20-57_V44U10-376_A1_CH_L_323a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-04_12-36-57_2024-10-04_12-20-57_V44U10-376_A1_CH_L_323a_vis.tif,True,24057490,True,,False,Unsupported or missing image file
CH_L_326a,CAVG10489_2024-10-08_12-12-21_2024-10-08_12-02-28_V44U19-363_D1_CH_L_326a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-08_12-12-21_2024-10-08_12-02-28_V44U19-363_D1_CH_L_326a_vis.tif,True,28466868,True,,False,Unsupported or missing image file
CH_L_327a,CAVG10489_2024-10-08_12-12-21_2024-10-08_12-02-28_V44U19-363_A1_CH_L_327a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-08_12-12-21_2024-10-08_12-02-28_V44U19-363_A1_CH_L_327a_vis.tif,True,23270660,True,,False,Unsupported or missing image file
CH_L_328a,CAVG10489_2024-10-08_13-06-37_2024-10-08_12-52-24_V44U19-283_D1_CH_L_328a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-08_13-06-37_2024-10-08_12-52-24_V44U19-283_D1_CH_L_328a_vis.tif,True,26762624,True,,False,Unsupported or missing image file
CH_L_329a,CAVG10489_2024-10-08_13-06-37_2024-10-08_12-52-24_V44U19-283_A1_CH_L_329a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-08_13-06-37_2024-10-08_12-52-24_V44U19-283_A1_CH_L_329a_vis.tif,True,26897094,True,,False,Unsupported or missing image file
CH_L_330a,CAVG10489_2024-12-03_11-32-56_2024-12-03_11-24-01_V44A01-325_D1_CH_L_330a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-12-03_11-32-56_2024-12-03_11-24-01_V44A01-325_D1_CH_L_330a_vis.tif,True,26139496,True,,False,Unsupported or missing image file
CH_L_333a,CAVG10489_2024-10-11_10-17-24_2024-10-11_09-51-58_V44U17-293_D1_CH_L_333a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-11_10-17-24_2024-10-11_09-51-58_V44U17-293_D1_CH_L_333a_vis.tif,True,25380846,True,,False,Unsupported or missing image file
CH_L_334a,CAVG10489_2024-10-11_10-17-24_2024-10-11_09-51-58_V44U17-293_A1_CH_L_334a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-11_10-17-24_2024-10-11_09-51-58_V44U17-293_A1_CH_L_334a_vis.tif,True,24400124,True,,False,Unsupported or missing image file
CH_L_335a,CAVG10489_2024-10-11_11-11-32_2024-10-11_10-53-10_V44U10-352_D1_CH_L_335a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-11_11-11-32_2024-10-11_10-53-10_V44U10-352_D1_CH_L_335a_vis.tif,True,24440988,True,,False,Unsupported or missing image file
CH_L_336a,CAVG10489_2024-10-11_11-11-32_2024-10-11_10-53-10_V44U10-352_A1_CH_L_336a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-11_11-11-32_2024-10-11_10-53-10_V44U10-352_A1_CH_L_336a_vis.tif,True,26800582,True,,False,Unsupported or missing image file
CH_L_337a,CAVG10489_2024-10-22_12-16-14_2024-10-22_12-07-23_V44U10-354_D1_CH_L_337a_vis.tif,s3://pa-bjplnclqvp1ar8f36-ada854zrhbscx1tue369yzroowz4neuw1b-s3alias/784a9286-bbc1-4138-b83a-0bbdce7c079c/spatial_transcriptomics/Visium/image_files/CAVG10489_2024-10-22_12-16-14_2024-10-22_12-07-23_V44U10-354_D1_CH_L_337a_vis.tif,True,28725638,True,,False,Unsupported or missing image file
